sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
2922,HCHO,2018-05-07T08:16:06Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/07/S5P_RPRO_L2__HCHO___20180507T081606_20180507T095737_02922_03_020401_20230115T155740/S5P_RPRO_L2__HCHO___20180507T081606_20180507T095737_02922_03_020401_20230115T155740.nc,1.0
2922,NO2,2018-05-07T08:16:06Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/07/S5P_RPRO_L2__NO2____20180507T081606_20180507T095737_02922_03_020400_20221208T163035/S5P_RPRO_L2__NO2____20180507T081606_20180507T095737_02922_03_020400_20221208T163035.nc,1.0
2922,SO2,2018-05-07T08:16:06Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/07/S5P_RPRO_L2__SO2____20180507T081606_20180507T095737_02922_03_020401_20230115T155738/S5P_RPRO_L2__SO2____20180507T081606_20180507T095737_02922_03_020401_20230115T155738.nc,1.0
2936,HCHO,2018-05-08T07:57:08Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/08/S5P_RPRO_L2__HCHO___20180508T075708_20180508T093838_02936_03_020401_20230115T161958/S5P_RPRO_L2__HCHO___20180508T075708_20180508T093838_02936_03_020401_20230115T161958.nc,1.0
2936,NO2,2018-05-08T07:57:08Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/08/S5P_RPRO_L2__NO2____20180508T075708_20180508T093838_02936_03_020400_20221108T211813/S5P_RPRO_L2__NO2____20180508T075708_20180508T093838_02936_03_020400_20221108T211813.nc,1.0
2936,SO2,2018-05-08T07:57:08Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/08/S5P_RPRO_L2__SO2____20180508T075708_20180508T093838_02936_03_020401_20230115T161714/S5P_RPRO_L2__SO2____20180508T075708_20180508T093838_02936_03_020401_20230115T161714.nc,1.0
2979,HCHO,2018-05-11T08:41:43Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/11/S5P_RPRO_L2__HCHO___20180511T084143_20180511T102314_02979_03_020401_20230115T225737/S5P_RPRO_L2__HCHO___20180511T084143_20180511T102314_02979_03_020401_20230115T225737.nc,1.0
2979,NO2,2018-05-11T08:41:43Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/11/S5P_RPRO_L2__NO2____20180511T084143_20180511T102314_02979_03_020400_20221129T125345/S5P_RPRO_L2__NO2____20180511T084143_20180511T102314_02979_03_020400_20221129T125345.nc,1.0
2979,SO2,2018-05-11T08:41:43Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/11/S5P_RPRO_L2__SO2____20180511T084143_20180511T102314_02979_03_020401_20230115T225737/S5P_RPRO_L2__SO2____20180511T084143_20180511T102314_02979_03_020401_20230115T225737.nc,1.0
3064,HCHO,2018-05-17T08:29:21Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/17/S5P_RPRO_L2__HCHO___20180517T082921_20180517T101051_03064_03_020401_20230116T110746/S5P_RPRO_L2__HCHO___20180517T082921_20180517T101051_03064_03_020401_20230116T110746.nc,1.0
3064,NO2,2018-05-17T08:29:21Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/17/S5P_RPRO_L2__NO2____20180517T082921_20180517T101051_03064_03_020400_20221129T140239/S5P_RPRO_L2__NO2____20180517T082921_20180517T101051_03064_03_020400_20221129T140239.nc,1.0
3064,SO2,2018-05-17T08:29:21Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/17/S5P_RPRO_L2__SO2____20180517T082921_20180517T101051_03064_03_020401_20230116T121351/S5P_RPRO_L2__SO2____20180517T082921_20180517T101051_03064_03_020401_20230116T121351.nc,1.0
3078,HCHO,2018-05-18T08:10:21Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/18/S5P_RPRO_L2__HCHO___20180518T081021_20180518T095152_03078_03_020401_20230116T125657/S5P_RPRO_L2__HCHO___20180518T081021_20180518T095152_03078_03_020401_20230116T125657.nc,1.0
3078,NO2,2018-05-18T08:10:21Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/18/S5P_RPRO_L2__NO2____20180518T081021_20180518T095152_03078_03_020400_20221129T140301/S5P_RPRO_L2__NO2____20180518T081021_20180518T095152_03078_03_020400_20221129T140301.nc,1.0
3078,SO2,2018-05-18T08:10:21Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/18/S5P_RPRO_L2__SO2____20180518T081021_20180518T095152_03078_03_020401_20230116T142132/S5P_RPRO_L2__SO2____20180518T081021_20180518T095152_03078_03_020401_20230116T142132.nc,1.0
3135,HCHO,2018-05-22T08:35:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/22/S5P_RPRO_L2__HCHO___20180522T083554_20180522T101724_03135_03_020401_20230116T193947/S5P_RPRO_L2__HCHO___20180522T083554_20180522T101724_03135_03_020401_20230116T193947.nc,1.0
3135,NO2,2018-05-22T08:35:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/22/S5P_RPRO_L2__NO2____20180522T083554_20180522T101724_03135_03_020400_20221129T143635/S5P_RPRO_L2__NO2____20180522T083554_20180522T101724_03135_03_020400_20221129T143635.nc,1.0
3135,SO2,2018-05-22T08:35:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/22/S5P_RPRO_L2__SO2____20180522T083554_20180522T101724_03135_03_020401_20230116T220712/S5P_RPRO_L2__SO2____20180522T083554_20180522T101724_03135_03_020401_20230116T220712.nc,1.0
3149,HCHO,2018-05-23T08:16:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/23/S5P_RPRO_L2__HCHO___20180523T081654_20180523T095824_03149_03_020401_20230116T213038/S5P_RPRO_L2__HCHO___20180523T081654_20180523T095824_03149_03_020401_20230116T213038.nc,1.0
3149,NO2,2018-05-23T08:16:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/23/S5P_RPRO_L2__NO2____20180523T081654_20180523T095824_03149_03_020400_20221129T144509/S5P_RPRO_L2__NO2____20180523T081654_20180523T095824_03149_03_020400_20221129T144509.nc,1.0
3149,SO2,2018-05-23T08:16:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/23/S5P_RPRO_L2__SO2____20180523T081654_20180523T095824_03149_03_020401_20230116T235203/S5P_RPRO_L2__SO2____20180523T081654_20180523T095824_03149_03_020401_20230116T235203.nc,1.0
3163,HCHO,2018-05-24T07:57:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/24/S5P_RPRO_L2__HCHO___20180524T075754_20180524T093924_03163_03_020401_20230116T233434/S5P_RPRO_L2__HCHO___20180524T075754_20180524T093924_03163_03_020401_20230116T233434.nc,1.0
3163,NO2,2018-05-24T07:57:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/24/S5P_RPRO_L2__NO2____20180524T075754_20180524T093924_03163_03_020400_20221129T150926/S5P_RPRO_L2__NO2____20180524T075754_20180524T093924_03163_03_020400_20221129T150926.nc,1.0
3163,SO2,2018-05-24T07:57:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/24/S5P_RPRO_L2__SO2____20180524T075754_20180524T093924_03163_03_020401_20230117T013315/S5P_RPRO_L2__SO2____20180524T075754_20180524T093924_03163_03_020401_20230117T013315.nc,1.0
3206,HCHO,2018-05-27T08:42:24Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/27/S5P_RPRO_L2__HCHO___20180527T084224_20180527T102354_03206_03_020401_20230117T104734/S5P_RPRO_L2__HCHO___20180527T084224_20180527T102354_03206_03_020401_20230117T104734.nc,1.0
3206,NO2,2018-05-27T08:42:24Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/27/S5P_RPRO_L2__NO2____20180527T084224_20180527T102354_03206_03_020400_20221129T151834/S5P_RPRO_L2__NO2____20180527T084224_20180527T102354_03206_03_020400_20221129T151834.nc,1.0
3206,SO2,2018-05-27T08:42:24Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/27/S5P_RPRO_L2__SO2____20180527T084224_20180527T102354_03206_03_020401_20230117T114722/S5P_RPRO_L2__SO2____20180527T084224_20180527T102354_03206_03_020401_20230117T114722.nc,1.0
3305,HCHO,2018-06-03T08:10:49Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/03/S5P_RPRO_L2__HCHO___20180603T081049_20180603T095219_03305_03_020401_20230117T205849/S5P_RPRO_L2__HCHO___20180603T081049_20180603T095219_03305_03_020401_20230117T205849.nc,1.0
3305,NO2,2018-06-03T08:10:49Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/03/S5P_RPRO_L2__NO2____20180603T081049_20180603T095219_03305_03_020400_20221129T163325/S5P_RPRO_L2__NO2____20180603T081049_20180603T095219_03305_03_020400_20221129T163325.nc,1.0
3305,SO2,2018-06-03T08:10:49Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/03/S5P_RPRO_L2__SO2____20180603T081049_20180603T095219_03305_03_020401_20230117T231839/S5P_RPRO_L2__SO2____20180603T081049_20180603T095219_03305_03_020401_20230117T231839.nc,1.0
3362,HCHO,2018-06-07T08:36:14Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/07/S5P_RPRO_L2__HCHO___20180607T083614_20180607T101744_03362_03_020401_20230118T161543/S5P_RPRO_L2__HCHO___20180607T083614_20180607T101744_03362_03_020401_20230118T161543.nc,1.0
3362,NO2,2018-06-07T08:36:14Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/07/S5P_RPRO_L2__NO2____20180607T083614_20180607T101744_03362_03_020400_20221129T171524/S5P_RPRO_L2__NO2____20180607T083614_20180607T101744_03362_03_020400_20221129T171524.nc,1.0
3362,SO2,2018-06-07T08:36:14Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/07/S5P_RPRO_L2__SO2____20180607T083614_20180607T101744_03362_03_020401_20230118T163604/S5P_RPRO_L2__SO2____20180607T083614_20180607T101744_03362_03_020401_20230118T163604.nc,1.0
3376,HCHO,2018-06-08T08:17:12Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/08/S5P_RPRO_L2__HCHO___20180608T081712_20180608T095842_03376_03_020401_20230118T175503/S5P_RPRO_L2__HCHO___20180608T081712_20180608T095842_03376_03_020401_20230118T175503.nc,1.0
3376,NO2,2018-06-08T08:17:12Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/08/S5P_RPRO_L2__NO2____20180608T081712_20180608T095842_03376_03_020400_20221129T172348/S5P_RPRO_L2__NO2____20180608T081712_20180608T095842_03376_03_020400_20221129T172348.nc,1.0
3376,SO2,2018-06-08T08:17:12Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/08/S5P_RPRO_L2__SO2____20180608T081712_20180608T095842_03376_03_020401_20230118T183404/S5P_RPRO_L2__SO2____20180608T081712_20180608T095842_03376_03_020401_20230118T183404.nc,1.0
3390,HCHO,2018-06-09T07:58:10Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/09/S5P_RPRO_L2__HCHO___20180609T075810_20180609T093940_03390_03_020401_20230118T193126/S5P_RPRO_L2__HCHO___20180609T075810_20180609T093940_03390_03_020401_20230118T193126.nc,1.0
3390,NO2,2018-06-09T07:58:10Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/09/S5P_RPRO_L2__NO2____20180609T075810_20180609T093940_03390_03_020400_20221129T172454/S5P_RPRO_L2__NO2____20180609T075810_20180609T093940_03390_03_020400_20221129T172454.nc,1.0
3390,SO2,2018-06-09T07:58:10Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/09/S5P_RPRO_L2__SO2____20180609T075810_20180609T093940_03390_03_020401_20230118T204617/S5P_RPRO_L2__SO2____20180609T075810_20180609T093940_03390_03_020401_20230118T204617.nc,1.0
3433,HCHO,2018-06-12T08:42:34Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/12/S5P_RPRO_L2__HCHO___20180612T084234_20180612T102404_03433_03_020401_20230119T011017/S5P_RPRO_L2__HCHO___20180612T084234_20180612T102404_03433_03_020401_20230119T011017.nc,1.0
3433,NO2,2018-06-12T08:42:34Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/12/S5P_RPRO_L2__NO2____20180612T084234_20180612T102404_03433_03_020400_20221129T175002/S5P_RPRO_L2__NO2____20180612T084234_20180612T102404_03433_03_020400_20221129T175002.nc,1.0
3433,SO2,2018-06-12T08:42:34Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/12/S5P_RPRO_L2__SO2____20180612T084234_20180612T102404_03433_03_020401_20230119T023227/S5P_RPRO_L2__SO2____20180612T084234_20180612T102404_03433_03_020401_20230119T023227.nc,1.0
3447,HCHO,2018-06-13T08:23:32Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/13/S5P_RPRO_L2__HCHO___20180613T082332_20180613T100502_03447_03_020401_20230119T030536/S5P_RPRO_L2__HCHO___20180613T082332_20180613T100502_03447_03_020401_20230119T030536.nc,1.0
3447,NO2,2018-06-13T08:23:32Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/13/S5P_RPRO_L2__NO2____20180613T082332_20180613T100502_03447_03_020400_20221129T175823/S5P_RPRO_L2__NO2____20180613T082332_20180613T100502_03447_03_020400_20221129T175823.nc,1.0
3447,SO2,2018-06-13T08:23:32Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/13/S5P_RPRO_L2__SO2____20180613T082332_20180613T100502_03447_03_020401_20230119T042524/S5P_RPRO_L2__SO2____20180613T082332_20180613T100502_03447_03_020401_20230119T042524.nc,1.0
3518,HCHO,2018-06-18T08:29:54Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/18/S5P_RPRO_L2__HCHO___20180618T082954_20180618T101124_03518_03_020401_20230119T163638/S5P_RPRO_L2__HCHO___20180618T082954_20180618T101124_03518_03_020401_20230119T163638.nc,1.0
3518,NO2,2018-06-18T08:29:54Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/18/S5P_RPRO_L2__NO2____20180618T082954_20180618T101124_03518_03_020400_20221129T183304/S5P_RPRO_L2__NO2____20180618T082954_20180618T101124_03518_03_020400_20221129T183304.nc,1.0
3518,SO2,2018-06-18T08:29:54Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/18/S5P_RPRO_L2__SO2____20180618T082954_20180618T101124_03518_03_020401_20230119T164927/S5P_RPRO_L2__SO2____20180618T082954_20180618T101124_03518_03_020401_20230119T164927.nc,1.0
3589,HCHO,2018-06-23T08:36:17Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/23/S5P_RPRO_L2__HCHO___20180623T083617_20180623T101747_03589_03_020401_20230120T073313/S5P_RPRO_L2__HCHO___20180623T083617_20180623T101747_03589_03_020401_20230120T073313.nc,1.0
3589,NO2,2018-06-23T08:36:17Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/23/S5P_RPRO_L2__NO2____20180623T083617_20180623T101747_03589_03_020400_20221129T190754/S5P_RPRO_L2__NO2____20180623T083617_20180623T101747_03589_03_020400_20221129T190754.nc,1.0
3589,SO2,2018-06-23T08:36:17Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/23/S5P_RPRO_L2__SO2____20180623T083617_20180623T101747_03589_03_020401_20230120T073311/S5P_RPRO_L2__SO2____20180623T083617_20180623T101747_03589_03_020401_20230120T073311.nc,1.0
3603,HCHO,2018-06-24T08:17:15Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/24/S5P_RPRO_L2__HCHO___20180624T081715_20180624T095845_03603_03_020401_20230120T091650/S5P_RPRO_L2__HCHO___20180624T081715_20180624T095845_03603_03_020401_20230120T091650.nc,1.0
3603,NO2,2018-06-24T08:17:15Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/24/S5P_RPRO_L2__NO2____20180624T081715_20180624T095845_03603_03_020400_20221129T192410/S5P_RPRO_L2__NO2____20180624T081715_20180624T095845_03603_03_020400_20221129T192410.nc,1.0
3603,SO2,2018-06-24T08:17:15Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/24/S5P_RPRO_L2__SO2____20180624T081715_20180624T095845_03603_03_020401_20230120T093315/S5P_RPRO_L2__SO2____20180624T081715_20180624T095845_03603_03_020401_20230120T093315.nc,1.0
3617,HCHO,2018-06-25T07:58:13Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/25/S5P_RPRO_L2__HCHO___20180625T075813_20180625T093943_03617_03_020401_20230120T110648/S5P_RPRO_L2__HCHO___20180625T075813_20180625T093943_03617_03_020401_20230120T110648.nc,1.0
3617,NO2,2018-06-25T07:58:13Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/25/S5P_RPRO_L2__NO2____20180625T075813_20180625T093943_03617_03_020400_20221129T192434/S5P_RPRO_L2__NO2____20180625T075813_20180625T093943_03617_03_020400_20221129T192434.nc,1.0
3617,SO2,2018-06-25T07:58:13Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/25/S5P_RPRO_L2__SO2____20180625T075813_20180625T093943_03617_03_020401_20230120T112004/S5P_RPRO_L2__SO2____20180625T075813_20180625T093943_03617_03_020401_20230120T112004.nc,1.0
3660,HCHO,2018-06-28T08:42:37Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/28/S5P_RPRO_L2__HCHO___20180628T084237_20180628T102407_03660_03_020401_20230120T153124/S5P_RPRO_L2__HCHO___20180628T084237_20180628T102407_03660_03_020401_20230120T153124.nc,1.0
3660,NO2,2018-06-28T08:42:37Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/28/S5P_RPRO_L2__NO2____20180628T084237_20180628T102407_03660_03_020400_20221129T195012/S5P_RPRO_L2__NO2____20180628T084237_20180628T102407_03660_03_020400_20221129T195012.nc,1.0
3660,SO2,2018-06-28T08:42:37Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/28/S5P_RPRO_L2__SO2____20180628T084237_20180628T102407_03660_03_020401_20230120T160431/S5P_RPRO_L2__SO2____20180628T084237_20180628T102407_03660_03_020401_20230120T160431.nc,1.0
3674,HCHO,2018-06-29T08:23:34Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/29/S5P_RPRO_L2__HCHO___20180629T082334_20180629T100504_03674_03_020401_20230120T165705/S5P_RPRO_L2__HCHO___20180629T082334_20180629T100504_03674_03_020401_20230120T165705.nc,1.0
3674,NO2,2018-06-29T08:23:34Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/29/S5P_RPRO_L2__NO2____20180629T082334_20180629T100504_03674_03_020400_20221129T195855/S5P_RPRO_L2__NO2____20180629T082334_20180629T100504_03674_03_020400_20221129T195855.nc,1.0
3674,SO2,2018-06-29T08:23:34Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/29/S5P_RPRO_L2__SO2____20180629T082334_20180629T100504_03674_03_020401_20230120T173823/S5P_RPRO_L2__SO2____20180629T082334_20180629T100504_03674_03_020401_20230120T173823.nc,1.0
3688,HCHO,2018-06-30T08:04:32Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/30/S5P_RPRO_L2__HCHO___20180630T080432_20180630T094602_03688_03_020401_20230120T181804/S5P_RPRO_L2__HCHO___20180630T080432_20180630T094602_03688_03_020401_20230120T181804.nc,1.0
3688,NO2,2018-06-30T08:04:32Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/30/S5P_RPRO_L2__NO2____20180630T080432_20180630T094602_03688_03_020400_20221129T200723/S5P_RPRO_L2__NO2____20180630T080432_20180630T094602_03688_03_020400_20221129T200723.nc,1.0
3688,SO2,2018-06-30T08:04:32Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/30/S5P_RPRO_L2__SO2____20180630T080432_20180630T094602_03688_03_020401_20230120T191529/S5P_RPRO_L2__SO2____20180630T080432_20180630T094602_03688_03_020401_20230120T191529.nc,1.0
