sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
2921,HCHO,2018-05-07T06:34:36Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/07/S5P_RPRO_L2__HCHO___20180507T063436_20180507T081606_02921_03_020401_20230115T155707/S5P_RPRO_L2__HCHO___20180507T063436_20180507T081606_02921_03_020401_20230115T155707.nc,1.0
2921,NO2,2018-05-07T06:34:36Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/07/S5P_RPRO_L2__NO2____20180507T063436_20180507T081606_02921_03_020400_20221208T163034/S5P_RPRO_L2__NO2____20180507T063436_20180507T081606_02921_03_020400_20221208T163034.nc,1.0
2921,SO2,2018-05-07T06:34:36Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/07/S5P_RPRO_L2__SO2____20180507T063436_20180507T081606_02921_03_020401_20230115T155706/S5P_RPRO_L2__SO2____20180507T063436_20180507T081606_02921_03_020401_20230115T155706.nc,1.0
2935,HCHO,2018-05-08T06:15:38Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/08/S5P_RPRO_L2__HCHO___20180508T061538_20180508T075708_02935_03_020401_20230115T161712/S5P_RPRO_L2__HCHO___20180508T061538_20180508T075708_02935_03_020401_20230115T161712.nc,1.0
2935,NO2,2018-05-08T06:15:38Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/08/S5P_RPRO_L2__NO2____20180508T061538_20180508T075708_02935_03_020400_20221108T211812/S5P_RPRO_L2__NO2____20180508T061538_20180508T075708_02935_03_020400_20221108T211812.nc,1.0
2935,SO2,2018-05-08T06:15:38Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/08/S5P_RPRO_L2__SO2____20180508T061538_20180508T075708_02935_03_020401_20230115T161711/S5P_RPRO_L2__SO2____20180508T061538_20180508T075708_02935_03_020401_20230115T161711.nc,1.0
2964,HCHO,2018-05-10T07:19:12Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/10/S5P_RPRO_L2__HCHO___20180510T071912_20180510T090042_02964_03_020401_20230115T204402/S5P_RPRO_L2__HCHO___20180510T071912_20180510T090042_02964_03_020401_20230115T204402.nc,1.0
2964,NO2,2018-05-10T07:19:12Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/10/S5P_RPRO_L2__NO2____20180510T071912_20180510T090042_02964_03_020400_20221129T125304/S5P_RPRO_L2__NO2____20180510T071912_20180510T090042_02964_03_020400_20221129T125304.nc,1.0
2964,SO2,2018-05-10T07:19:12Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/10/S5P_RPRO_L2__SO2____20180510T071912_20180510T090042_02964_03_020401_20230115T204402/S5P_RPRO_L2__SO2____20180510T071912_20180510T090042_02964_03_020401_20230115T204402.nc,1.0
2978,HCHO,2018-05-11T07:00:13Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/11/S5P_RPRO_L2__HCHO___20180511T070013_20180511T084143_02978_03_020401_20230115T225736/S5P_RPRO_L2__HCHO___20180511T070013_20180511T084143_02978_03_020401_20230115T225736.nc,1.0
