sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
2925,HCHO,2018-05-07T13:20:37Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/07/S5P_RPRO_L2__HCHO___20180507T132037_20180507T150207_02925_03_020401_20230115T155817/S5P_RPRO_L2__HCHO___20180507T132037_20180507T150207_02925_03_020401_20230115T155817.nc,1.0
2925,NO2,2018-05-07T13:20:37Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/07/S5P_RPRO_L2__NO2____20180507T132037_20180507T150207_02925_03_020400_20221208T163759/S5P_RPRO_L2__NO2____20180507T132037_20180507T150207_02925_03_020400_20221208T163759.nc,1.0
2925,SO2,2018-05-07T13:20:37Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/07/S5P_RPRO_L2__SO2____20180507T132037_20180507T150207_02925_03_020401_20230115T155816/S5P_RPRO_L2__SO2____20180507T132037_20180507T150207_02925_03_020401_20230115T155816.nc,1.0
2939,HCHO,2018-05-08T13:01:39Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/08/S5P_RPRO_L2__HCHO___20180508T130139_20180508T144309_02939_03_020401_20230115T162009/S5P_RPRO_L2__HCHO___20180508T130139_20180508T144309_02939_03_020401_20230115T162009.nc,1.0
2939,NO2,2018-05-08T13:01:39Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/08/S5P_RPRO_L2__NO2____20180508T130139_20180508T144309_02939_03_020400_20221108T211832/S5P_RPRO_L2__NO2____20180508T130139_20180508T144309_02939_03_020400_20221108T211832.nc,1.0
2939,SO2,2018-05-08T13:01:39Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/08/S5P_RPRO_L2__SO2____20180508T130139_20180508T144309_02939_03_020401_20230115T162008/S5P_RPRO_L2__SO2____20180508T130139_20180508T144309_02939_03_020401_20230115T162008.nc,1.0
2953,HCHO,2018-05-09T12:42:40Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/09/S5P_RPRO_L2__HCHO___20180509T124240_20180509T142410_02953_03_020401_20230115T180632/S5P_RPRO_L2__HCHO___20180509T124240_20180509T142410_02953_03_020401_20230115T180632.nc,1.0
2953,NO2,2018-05-09T12:42:40Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/09/S5P_RPRO_L2__NO2____20180509T124240_20180509T142410_02953_03_020400_20221108T212003/S5P_RPRO_L2__NO2____20180509T124240_20180509T142410_02953_03_020400_20221108T212003.nc,1.0
2953,SO2,2018-05-09T12:42:40Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/09/S5P_RPRO_L2__SO2____20180509T124240_20180509T142410_02953_03_020401_20230115T180633/S5P_RPRO_L2__SO2____20180509T124240_20180509T142410_02953_03_020401_20230115T180633.nc,1.0
2981,HCHO,2018-05-11T12:04:44Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/11/S5P_RPRO_L2__HCHO___20180511T120444_20180511T134614_02981_03_020401_20230115T225740/S5P_RPRO_L2__HCHO___20180511T120444_20180511T134614_02981_03_020401_20230115T225740.nc,1.0
