sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
2938,HCHO,2018-05-08T11:20:09Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/08/S5P_RPRO_L2__HCHO___20180508T112009_20180508T130139_02938_03_020401_20230115T162006/S5P_RPRO_L2__HCHO___20180508T112009_20180508T130139_02938_03_020401_20230115T162006.nc,1.0
2938,NO2,2018-05-08T11:20:09Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/08/S5P_RPRO_L2__NO2____20180508T112009_20180508T130139_02938_03_020400_20221108T211830/S5P_RPRO_L2__NO2____20180508T112009_20180508T130139_02938_03_020400_20221108T211830.nc,1.0
2938,SO2,2018-05-08T11:20:09Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/08/S5P_RPRO_L2__SO2____20180508T112009_20180508T130139_02938_03_020401_20230115T162004/S5P_RPRO_L2__SO2____20180508T112009_20180508T130139_02938_03_020401_20230115T162004.nc,1.0
2952,HCHO,2018-05-09T11:01:10Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/09/S5P_RPRO_L2__HCHO___20180509T110110_20180509T124240_02952_03_020401_20230115T180631/S5P_RPRO_L2__HCHO___20180509T110110_20180509T124240_02952_03_020401_20230115T180631.nc,1.0
2952,NO2,2018-05-09T11:01:10Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/09/S5P_RPRO_L2__NO2____20180509T110110_20180509T124240_02952_03_020400_20221108T212001/S5P_RPRO_L2__NO2____20180509T110110_20180509T124240_02952_03_020400_20221108T212001.nc,1.0
2952,SO2,2018-05-09T11:01:10Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/09/S5P_RPRO_L2__SO2____20180509T110110_20180509T124240_02952_03_020401_20230115T180630/S5P_RPRO_L2__SO2____20180509T110110_20180509T124240_02952_03_020401_20230115T180630.nc,1.0
2966,HCHO,2018-05-10T10:42:12Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/10/S5P_RPRO_L2__HCHO___20180510T104212_20180510T122342_02966_03_020401_20230115T204405/S5P_RPRO_L2__HCHO___20180510T104212_20180510T122342_02966_03_020401_20230115T204405.nc,1.0
2966,NO2,2018-05-10T10:42:12Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/05/10/S5P_RPRO_L2__NO2____20180510T104212_20180510T122342_02966_03_020400_20221129T125309/S5P_RPRO_L2__NO2____20180510T104212_20180510T122342_02966_03_020400_20221129T125309.nc,1.0
2966,SO2,2018-05-10T10:42:12Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/05/10/S5P_RPRO_L2__SO2____20180510T104212_20180510T122342_02966_03_020401_20230115T204404/S5P_RPRO_L2__SO2____20180510T104212_20180510T122342_02966_03_020401_20230115T204404.nc,1.0
2980,HCHO,2018-05-11T10:23:14Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/05/11/S5P_RPRO_L2__HCHO___20180511T102314_20180511T120444_02980_03_020401_20230115T225739/S5P_RPRO_L2__HCHO___20180511T102314_20180511T120444_02980_03_020401_20230115T225739.nc,1.0
